,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount,side_effect,effectiveness
652,55-64,Osteoporosis,2010-06-15,"reclast bottle, infusion",148235,5,5,"Wow...good thing I didn't read these reviews before I used Reclast.  Just had, June 11, 2010, my THIRD TIME and I feel fine.  My Dexa scan came back much improved. I drank extra water after getting the drug, but drank a latte while receiving.  After I received the drug in 2008 I didn't feel great and from then on they have really SLOWED DOWN the injection time to 45 minutes, not 15 minutes. And it helped a lot! Sorry to hear people are having trouble.  I would highly recommend, based on good and improved DEXA results.",5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",42,0.99941397,0.9992607
653,75 or over,Osteoporosis,2010-06-09,"reclast bottle, infusion",148235,1,1,"given to my mother on may 27 2010, recommended by her doctor. Well she passed away on June 8 2010. heartattack, kidney failure.  Due to this drug????  makes one think!!!!!!!",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",18,0.99920124,0.0009999117
654,55-64,Post-Menopausal Osteoporosis Prevention,2010-06-07,"reclast bottle, infusion",148235,1,3,"I had my second reclast in February. Tthe next day started to have symptoms that became unbearable.  The muscle pain, dehydration, muscle cramps, edema, brownish coating on my tongue, etc.  I went to my doctor and told him I was having a reaction to reclast, he didn't believe me.  I finally got another apt. with a doctor, who confirmed that my symptoms were from reclast.  
I could not get any pain medication because pain medications have phosphates in them.  Reclast is part of the bisphosphorates group and the pain medication would have added more of this chemical into my body and prolonged my misery.  
The doctor prescribed a muscle relaxer(cyclobenzaprine) and told me to drink lots and lots of water.  
I thought, if I can't have pain killers because of the phosphates, what else is in my house that I'm eating and drinking that has phosphates in them.  To my surprise, lots of food and drinks, pop the worst.  I eliminated all things with phosphates, phosphorus, and salt from my diet and started to feel better in 3 day.  Not by any means over with this ordeal, but hopeful the pain will become controlled and I can get on with my life",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",3,0.99963677,0.99291915
655,55-64,Osteoporosis,2010-06-05,"reclast bottle, infusion",148235,4,1,"My first injection of Reclast sent me to the emergency room with chills and fever (103), chest pain, joint pain and shortness of breath.  I had severe joint pains and flu symptoms for over a week.  Dr. put me on Prednizone.  I decided to try it one more time in May 2010 and took Benedryl to avoid flu symptoms (per my nurse's instructions).  I ended up in the hospital again - this time for 3 days- with an ileus. I had terrible stabbing pains in my stomach which were unrelenting. I was vomiting and weak, my digestive system shut down. I went on a liquid diet for a week.  The doctor told me it was a combination of the benedryl and my high blood pressure medicine, Metoprolol that had caused this reaction (along with the Reclast). I am feeling better, but after three weeks am still extremely tired and having heart palpitations and am borderline diabetic. As far as I know,I was in excellent health before all of this. No telling what sort of surprise I would get if I tried it again, so no more Reclast for me.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",34,0.9999337,0.19189265
656,55-64,Osteoporosis,2010-06-05,"reclast bottle, infusion",148235,1,1,recommended but havent used yet,1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",5,0.20119387,0.005295481
657,13-18,Osteoporosis,2010-06-01,"reclast bottle, infusion",148235,5,3,Won't know effectiveness until July 2010 with DXA scan but lab indicators are positive.  Have had 2 doses at 6 month interval; will get 3rd in August.  Side effects have been minimal with bone pain/aches at the worst appx. 36 to 48 hours after infusion.  ,5,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",9,0.9996536,0.9978315
658,55-64,Osteoporosis,2010-05-31,"reclast bottle, infusion",148235,3,1,"Had this drug a yr. ago due another one tomorrow,i 'm thing about not doing it read so much about same side affects i had ,bone and mus.pain still have. take pain meds every day .never took before.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",20,0.99980336,0.002934935
659,55-64,Post-Menopausal Osteoporosis Prevention,2010-05-29,"reclast bottle, infusion",148235,5,1,"Last year I had treatment. I had ache and pain,fever and diarrhea for a while. My blood pressure went too. This year on May 5th I had my second treatment. I was all prepared for aches and pain all that. That night I had all those problems.Next morning my stomach, urinary track and rectum started burning. I suffered for 10 hours. According to the doctor,no idea why is this happening. After 10 hours things slowly got better,it took whole week. Today is 29th of May, I am still have ache and pains and diarrhea. No one tells me how long this will go on.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",2,0.9998838,0.065491006
660,55-64,Osteoporosis,2010-05-15,"reclast bottle, infusion",148235,5,3,"Yesterday, May 14,2010 I had my third reclast infusion at 1:30 P.M The misery started about 1 1/2 hrs. later. I tried to go shopping, but I had to vomit twice before I made it home. The muscle and joint pain were excruciating. It took me an hour to get out of my car because of the weakness. As the day progressed I kept feeling worse headache, nausea,continued joint and muscle pain, fever and weakness so bad I had to go to bed. It is day two and the misery is worse, plus I now have diarreha. My endocrinologist told me the symptoms would lessen with each infusion. NOT TRUE. This is my third year taking the drug and it worse. I wonder how long it will be before I feel better.",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",39,0.9998553,0.0043683136
661,55-64,Post-Menopausal Osteoporosis Prevention,2010-05-15,"reclast bottle, infusion",148235,1,1,I got a lot if pain.  /i need to be to emergency room the folowing day because the pain  was terrible they put morfine.  Intil todaythe third day i'm continuing with pain. ,1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",2,0.99956554,0.0009523537
662,55-64,Osteoporosis,2010-05-09,"reclast bottle, infusion",148235,1,1,"I had my first reclast injection on may 3rd 2010 and several hours after coming home,I started having severe pain throughout my whole body.The pain was so bad,I couldn't tolerate to even move.The next morning,May 4th.I started feeling a little better and on may 5th,I was doing fine.Yesterday,May 8th.,The pain had returned and as I sit here typing this on Mother's day.Iam in so much pain I can hardly type.I regret ever doing this Reclast injection.I would never recommend it to anyone",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",42,0.9994597,0.00082233426
663,55-64,Osteoporosis,2010-05-09,"reclast bottle, infusion",148235,5,3,"Just had IV 24 hrs ago, had no immediate side effects. Woke up around 1-2 AM in terrible pain,weakness, gi distress, swollen eyes, cold with chills unable to take a deep breath. Continued to drink water, took a benadryl and some vicodin for the pain as I felt like I had been hit by a truck. It is now about 36 hrs post tx and I can feelmy body improving, pain is easingoff, appetite improving.Iam a RN so I tend to triage myself, I am also post gatric-bypass x 12 years. If my bones improve I will dothis again now that I know what to expect. ",3,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",29,0.9997694,0.99540174
664,55-64,Osteoporosis,2010-04-30,"reclast bottle, infusion",148235,4,4,I had no problems during and after the medication(reclast). Later that night my whole body hurt extremely and the next morning hours.I had no strength and had a hard time standing on my feet because of pain.It has only been 3 days now and my symptoms have stopped.  Thank You Winnie Gibson,4,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",24,0.9995844,0.9501954
665,55-64,Osteoporosis,2010-04-27,"reclast bottle, infusion",148235,1,3,"I had my Reclast infusion last Wednesday (4/21/10) @ 2:00 pm.  I awoke @ 1:00 am the next morning unable to move, shaking uncontrollably and nauseous.  I went to a local ER for treatment and the doctors were not familiar w/Reclast or witht his violent reaction!  It took 12 hours and 2 compassionate nurses to get me to the point where I could be released with some semblance of pain control.  The ONLY side effects that were EVER discussed were ""mild, flulike symptoms for 2-3 days"".  This was NOT mild and I am still NOT pain free and this is day 6.  My rheumatologists' office has stated that I am ""the first patient that has had this serious a reaction"" but have not been very eager to see me and/or investigate what happened and where we go from here.  I feel helpless, confused and am worried about long term results.  Praying that someone out there has answers.....",1,Female,"Nausea , tiredness,  flu -like symptoms (e.g., fever, chills, muscle/ joint  aches),  dizziness ,  headache , or pain/redness/swelling at the injection site may occur.",44,0.99965763,0.0034169834
